Age,Fare,Relatives,cabin_A,cabin_B,cabin_C,cabin_D,cabin_E,cabin_F,cabin_G,cabin_T,cabin_Undef,embarked_C,embarked_Q,embarked_S,pclass_1,pclass_2,pclass_3,sex_female,sex_male,title_Master,title_Miss,title_Mr,title_Mrs
0.4045420994321,0.014151057562208049,0.1,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false
0.5688063478646241,0.13913573538264068,0.1,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true
0.44560816154023103,0.015468569817999833,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false
0.5380068012835258,0.10364429745562033,0.1,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,false,true
0.5380068012835258,0.015712553569072387,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false
0.3378456258559884,0.01650950209357577,0.0,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,false
0.7330705962971483,0.10122885832000206,0.0,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false
0.1992117888914449,0.04113566043083236,0.4,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,true,false,false,false
0.4558746770672638,0.021730754366528396,0.2,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true
0.322409975215838,0.058694292654020104,0.1,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,true
0.2197448199455104,0.03259622914329302,0.2,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,true,false,false,true,false,false
0.7741366584052793,0.051822148727810165,0.0,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false
0.3840090683780345,0.015712553569072387,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false
0.5790728633916569,0.06104473451835265,0.6,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false
0.322409975215838,0.015330377421392339,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false
0.743337111824181,0.03122992013728673,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,true
0.1992117888914449,0.056848213999904744,0.5,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,true,true,false,false,false
0.774947945440997,0.025374310111545468,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false
0.49694073917539483,0.03513366015444757,0.1,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true
0.5839709375063209,0.014102260811993537,0.0,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,true,false,false,false,false,true
0.5380068012835258,0.050748620223090936,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false
0.5277402857564931,0.025374310111545468,0.0,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false
0.3326764907428707,0.015671954672893913,0.0,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false
0.4661411925942966,0.06929138530460492,0.0,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false
0.26081088205364145,0.04113566043083236,0.4,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,true,false,false
0.5688063478646241,0.061264319894317944,0.6,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,false,true
0.23878585712016095,0.014102260811993537,0.0,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false
0.3737425528510017,0.5133418122566505,0.5,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false
0.3900028859176075,0.01537917417160685,0.0,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false
0.534289728660595,0.015411575213749284,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,true,false
0.5893393789186897,0.05410739813385612,0.0,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,false
0.5762001747274537,0.2859895551532101,0.1,false,true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true
0.38875174247148836,0.015126992566498259,0.0,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,true,false,false
0.8562687826215414,0.020494635090094415,0.0,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,true,false
0.4661411925942966,0.16038672010106,0.1,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,true,false
0.6098724099727552,0.10149724044618187,0.1,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,false,true,false
0.4391668674394258,0.014110458666029575,0.0,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false,true,false,false,true,false
